"id";"category";"difficulty_level";"description";"option1";"option2";"option3";"option4";"correct_option"
1;"Java";"Easy";"How many loops are there in Java?";"4";"5";"3";"2";"option3"
2;"Java";"Easy";"Who invented Java Programming?";"Guido van Rossum";"James Gosling";"Dennis Ritchie";"Bjarne Stroustrup";"option2"
3;"Java";"Easy";"Which one of the following is not a Java feature?";"Object-oriented";"Use of pointers";"Portable";"Dynamic and Extensible";"option2"
4;"Java";"Medium";"What is the extension of compiled java classes?";".txt";".js";".class";".java";"option3"
5;"Java";"Hard";"Which exception is thrown when java is out of memory?";"MemoryError";"OutOfMemoryError";"MemoryOutOfBoundsException";"MemoryFullException";"option2"
6;"Python";"Easy";"Who developed Python Programming Language?";"Wick van Rossum";"Rasmus Lerdorf";"Guido van Rossum";"Niene Stom";"option3"
7;"Python";"Medium";"What does pip stand for python?";"Pip Installs Python";"Pip Installs Packages";"Preferred Installer Program";"All of the mentioned";"option3"
8;"Python";"Medium";"Which of the following functions is a built-in function in python?";"factorial()";"print()";"seed()";"sqrt()";"option2"
9;"Python";"Medium";"Which of the following is not a core data type in Python programming?";"Tuples";"Lists";"Class";"Dictionary";"option3"
10;"Python";"Medium";"Which one of the following is not a keyword in Python language?";"pass";"eval";"assert";"nonlocal";"option2"
11;"Python";"Easy";"Which of the following is a Python tuple?";"{1, 2, 3}";"{}";"[1, 2, 3]";"(1, 2, 3)";"option4"
12;"Python";"Easy";"What is output of print(math.pow(3, 2))?";"9.0";"None";"9";"None of the mentioned";"option1"
13;"Python";"Easy";"What arithmetic operators cannot be used with strings?";"+";"*";"-";"All of the mentioned";"option3"
